DataId,Name,Category,Alias,Hidden
81979b44-6ccc-42a8-8db3-b45faaad4d66,Reach the supply crates,TUTORIAL AND GUIDE MESSAGES,TUTORIAL AND GUIDE MESSAGES/Tutorial,1
d1519aa3-efbe-4717-9cf9-d16118e75520,q x first open repair,_OBSOLETE,_OBSOLETE/q_x_first_open_repair,1
36c0b589-e705-4b4c-90b4-57fba937a141,Update your Rig Operation System here. Use the license keys to install and upgrade software.,TUTORIAL AND GUIDE MESSAGES,TUTORIAL AND GUIDE MESSAGES/q_x_first_open_skills,1
c5486247-5208-45cd-8a6f-c830a5c216cf,q x analytics build aid crafter v2,OTHER,OTHER/ANALYTICS/q_x_analytics_build_aid_crafter_v2,1
745c97a4-6e70-4c09-8562-c00e132de119,q x analytics build aid crafter v3,OTHER,OTHER/ANALYTICS/q_x_analytics_build_aid_crafter_v3,1
372c8d3e-233a-48a2-8f5c-8c856d80089b,q x analytics build items crafter v1,OTHER,OTHER/ANALYTICS/q_x_analytics_build_items_crafter_v1,1
fe8e2a6a-9260-4fed-83c5-9ffb53a08f9d,q x analytics build items crafter v2,OTHER,OTHER/ANALYTICS/q_x_analytics_build_items_crafter_v2,1
50447a73-3cca-4f2c-ae06-84cd66e6b7b7,q x analytics build items crafter v3,OTHER,OTHER/ANALYTICS/q_x_analytics_build_items_crafter_v3,1
6c719f27-a1c4-4869-8ad3-7a048c9ad0d1,q x analytics build laboratory v2,OTHER,OTHER/ANALYTICS/q_x_analytics_build_laboratory_v2,1
13a2e169-de4d-4200-ae5b-1e5bc4ecefe1,q x analytics build laboratory v3,OTHER,OTHER/ANALYTICS/q_x_analytics_build_laboratory_v3,1
5ca1a51b-359b-45c1-b9aa-acad04f4702c,q x analytics build power generator v1,OTHER,OTHER/ANALYTICS/q_x_analytics_build_power_generator_v1,1
aea93f70-956b-420a-b7c9-17197b631af8,q x analytics build power generator v2,OTHER,OTHER/ANALYTICS/q_x_analytics_build_power_generator_v2,1
49b154dc-8d0c-4337-b8d4-ae0a8d77ea6e,q x analytics build recycler v2,OTHER,OTHER/ANALYTICS/q_x_analytics_build_recycler_v2,1
44f4a16a-a1b2-47e0-8294-a39f40c20172,q x analytics build recycler v3,OTHER,OTHER/ANALYTICS/q_x_analytics_build_recycler_v3,1
2d6f98ce-c89a-43b8-bad0-198feae3fb71,q x analytics build ammo crafter v1,OTHER,OTHER/ANALYTICS/q_x_analytics_build_ammo_crafter_v1,1
de1683f2-cef5-4fa8-b9cb-ea9b4186b49b,q x analytics build ammo crafter v2,OTHER,OTHER/ANALYTICS/q_x_analytics_build_ammo_crafter_v2,1
09e2ab36-ea55-411b-950a-e5f2d7c6463a,q x analytics build ammo crafter v3,OTHER,OTHER/ANALYTICS/q_x_analytics_build_ammo_crafter_v3,1
089bf687-bcd1-4dff-b224-c8eb19c82d2b,q x analytics build armor crafter v2,OTHER,OTHER/ANALYTICS/q_x_analytics_build_armor_crafter_v2,1
ad9c3f81-dc27-41a1-8849-4a6d8cb26745,q x analytics build armor crafter v3,OTHER,OTHER/ANALYTICS/q_x_analytics_build_armor_crafter_v3,1
56b96b33-e2e3-42d9-be56-b0da8c8e932f,q x analytics build solar array v2,OTHER,OTHER/ANALYTICS/q_x_analytics_build_solar_array_v2,1
5233ad66-9e95-4024-bf95-138c159358ff,q x analytics build solar array v3,OTHER,OTHER/ANALYTICS/q_x_analytics_build_solar_array_v3,1
c197e9b4-6def-4bfc-a23b-91f5d8e49867,q x analytics build storage v2,OTHER,OTHER/ANALYTICS/q_x_analytics_build_storage_v2,1
7863da2d-cb36-4a26-9038-2b1d99142194,q x analytics build storage v3,OTHER,OTHER/ANALYTICS/q_x_analytics_build_storage_v3,1
654f72c5-9a7f-4283-9d0a-c9f3b7198525,q x analytics build storage v4,OTHER,OTHER/ANALYTICS/q_x_analytics_build_storage_v4,1
c1f7e008-900d-4fb5-962f-87b6d3de2d6b,q x analytics air analyzer v1,OTHER,OTHER/ANALYTICS/q_x_analytics_air_analyzer_v1,1
9a947b52-a491-438a-84fc-25be22816fa2,q x analytics air analyzer v2,OTHER,OTHER/ANALYTICS/q_x_analytics_air_analyzer_v2,1
88e0adca-a1a5-47e3-ac72-69dacd6b4034,q x analytics air analyzer v3,OTHER,OTHER/ANALYTICS/q_x_analytics_air_analyzer_v3,1
a7d797e3-8aa7-47be-97ee-fea6e561896b,"Welcome to your brand used home - Shelter ...the beginning of your new life. First, how about we restore power?",_OBSOLETE,_OBSOLETE/q_shelter_introduction_part1,1
2ba1fb68-eddc-4e1a-b407-4a6910abaa83,ABCs: Restore Connection,_OBSOLETE,_OBSOLETE/q_shelter_introduction_restore_power,0
73d73e10-19c5-4883-a8ea-c968a608a008,q x analytics build insurance v1,OTHER,OTHER/ANALYTICS/q_x_analytics_build_insurance_v1,1
03640f68-d343-4363-ad95-0777822c8cc3,"Your rig has been destroyed. Temporary Equipment: Granted. Future Equipment Loss: Permanent, unless {global.links.shelter_module_insurance} is built. Found Items (not in: Safe Box): Lost.",_OBSOLETE,_OBSOLETE/q_x_first_death_pop_up,0
44cc76b6-4efd-48ea-8cfb-2db53bc199db,Follow the instructions.,_OBSOLETE,_OBSOLETE/q_shelter_introduction_part2_without_items_transfer,1
1d3d8f6a-6dd5-4589-9cbf-622b803a911a,q x shelter introduction part1 door animation,_OBSOLETE,_OBSOLETE/q_x_shelter_introduction_part1_door_animation,1
16da020d-a1c9-4274-aa2a-291de1843dd1,Sensitive Data,OTHER,OTHER/TO_METAMORPH/THRIFTIE/q_1223_sensible_data_real_item,0
21ef6f76-f9ac-45c3-8c07-e906cf95fd2e,Lending a Hand,OTHER,OTHER/TO_METAMORPH/THRIFTIE/q_1223_help_a_friend,0
74ec0b7d-1dc3-4c8a-9020-6a39656ef108,Corporate Voicemail,OTHER,OTHER/TO_METAMORPH/THRIFTIE/q_1223_corporate_negotiation_real_item,0
6aea5fbb-52c4-4270-bdbe-34aef1e61a72,Inspect Speed,_OBSOLETE,_OBSOLETE/q_x_shadow_extract_with_any_item_in_session_tutor,0
4ba8b3b0-05f5-409e-987d-0046634dbf03,Follow the instructions.,_OBSOLETE,_OBSOLETE/q_shelter_introduction_part2_with_items_transfer,1
49515ed7-3b15-4446-8ada-f83b74ea2cdf,Life is a Shooting Range: Part 2,OTHER,OTHER/TO_METAMORPH/THRIFTIE/q_1223_kill_bots_headshot,0
051e8397-3d48-4014-95b4-508bbadc5fe9,Recycler: Part 1,OTHER,OTHER/TO_METAMORPH/DOLAN/q_1223_recycling_part1,0
f1615800-7817-4eb3-aafd-23629fb7a36d,Recycler: Part 2,OTHER,OTHER/TO_METAMORPH/DOLAN/q_1223_recycling_part2,0
9a726ebd-210b-4bed-bf55-b6bbb426d26f,Life is a Shooting Range: Part 3,OTHER,OTHER/TO_METAMORPH/THRIFTIE/q_1223_kill_bots_in_one_session,0
